record_id;sync_timestamp;device_id;patient_id;patient_ci;patient_name;patient_last_name_1;patient_last_name_2;patient_sex;patient_birth_date;patient_department;patient_municipality;patient_community;patient_indigenous;vaccination_date;vaccine_code;vaccine_name;dose_number;facility_code;facility_name;lot_number;storage_temp_celsius;patient_age_days;administration_route;gps_latitude;gps_longitude;gps_accuracy_meters;observations
MOVIL-000286;2024-09-25T11:17:44;TAB-PT-05;MOV-00554;91233652 PT;Wilmer;Chura;Catari;M;22/6/2021;Potosí;Tupiza;Comunidad Ocurí;True;2024-09-25T14:57:38;VAC-021;Antiamarílica (FA);1.0;EST-PT-0223;Centro Materno Infantil Quillacollo Centro;LOT-BIO-2024-261;7.5;1191;Subcutánea;-19.442.709;-65.619.755;15.0;
MOVIL-000287;2024-04-09T11:02:21;TAB-PT-02;MOV-01175;63678143 PT;María;Condori Poma;Vargas;F;30/8/2002;Potosí;Villazón;Comunidad Ocurí;True;2024-04-09T16:59:54;VAC-025;Influenza Estacional;1.0;EST-PT-0235;Posta de Salud Villa Ingenio;LOT-SII-2024-554;0.5;7893;Intramuscular;-18.386.342;-66.249.181;15.0;
MOVIL-000288;2025-03-05T12:33:00;TAB-PT-06;MOV-00519;40412278 CH;Eusebio;Colque;Catari;M;5/10/2003;Chuquisaca;Sucre;Comunidad Calacoto;True;2025-03-05T15:18:24;VAC-025;Influenza Estacional;1.0;EST-CH-0277;Policlínico Pampa de la Isla;LOT-AZN-2025-400;7.6;7822;Intramuscular;-19.414.612;-65.700.628;50.0;
MOVIL-000289;2025-03-04T13:05:15;TAB-PT-02;MOV-01090;91974935 CH;Nayeli;Chura;Callisaya;F;7/7/1997;Chuquisaca;Tarabuco;Ayllu Laymes;False;2025-03-04T10:11:26;VAC-024;dT Adulto;1.0;EST-CH-0277;Policlínico Pampa de la Isla;LOT-SNF-2025-895;3.3;10102;Intramuscular;-19.155.945;-64.892.168;5.0;
MOVIL-000290;2025-02-03T15:37:27;TAB-OR-06;MOV-00412;7434323 OR;Lucía;Huanca;Villca;F;23/7/2023;Oruro;Salinas de Garci Mendoza;Comunidad Calacoto;True;2025-02-03T16:16:00;VAC-009;Antipolio bOPV;3.0;EST-OR-0247;Centro Integral de Salud Tunari;LOT-AZN-2025-907;8.7;561;Oral;-18.635.847;-67.677.857;15.0;Campaña puerta a puerta
MOVIL-000291;2024-05-27T08:41:43;TAB-CH-05;MOV-00247;94616745 OR;Jorge;Calle;Siñani;M;9/1/2023;Oruro;Machacamarca;Ayllu Chayantaka;True;2024-05-27T11:41:31;VAC-007;Antipolio IPV;1.0;EST-OR-0247;Centro Integral de Salud Tunari;LOT-GSK-2024-586;11.7;504;Intramuscular;-1.751.516;-67.401.521;10.0;Vacunación en unidad educativa
MOVIL-000292;2024-10-04T10:18:27;TAB-PT-05;MOV-00716;4275072 CH;Eusebio;Catari;Copa;M;8/11/2022;Chuquisaca;Camargo;Comunidad Caripuyo;True;2024-10-04T08:50:54;VAC-020;SRP (Triple Viral);2.0;EST-CH-0292;Micro Hospital Cerro Verde;LOT-BIO-2024-996;6.4;696;Subcutánea;-18.229.391;-65.328.518;15.0;Vacunación en unidad educativa
MOVIL-000293;2025-03-01T11:06:21;TAB-PT-04;MOV-00708;61540089 CH;Zenón;Yujra;Mendoza;M;5/9/2023;Chuquisaca;Padilla;Comunidad Salinas;True;2025-03-01T08:23:50;VAC-020;SRP (Triple Viral);2.0;EST-CH-0272;Centro Integral de Salud Senkata;LOT-PFZ-2025-339;5.1;543;Subcutánea;-1.961.193;-66.099.713;15.0;Segunda visita - completar esquema
MOVIL-000294;2024-11-14T09:13:33;TAB-PT-01;MOV-00913;;Domitila;Chipana;Rojas;F;6/1/2022;Oruro;Chipaya;Ayllu Laymes;True;2024-11-14T11:48:00;VAC-021;Antiamarílica (FA);1.0;EST-OR-0252;Posta Sanitaria Nueva Esperanza;LOT-SII-2024-275;7.2;1043;Subcutánea;-17.729.164;-66.688.106;15.0;
MOVIL-000295;2024-11-05T11:47:16;TAB-OR-02;MOV-00575;14782350 CH;Gregoria;Quisbert;Ticona;F;27/6/2022;Chuquisaca;Monteagudo;;True;2024-11-05T16:21:40;VAC-025;Influenza Estacional;1.0;EST-CH-0283;Centro de Salud Hamacas;LOT-AZN-2024-926;5.0;862;Intramuscular;-1.969.726;-64.380.487;50.0;Vacunación en unidad educativa
MOVIL-000296;2024-04-03T14:53:12;TAB-CH-05;MOV-00682;58487713 CH;Dionisio;Ticona;Apaza;M;13/2/2023;Chuquisaca;Villa Serrano;Comunidad Ocurí;False;2024-04-03T16:40:49;VAC-008;Antipolio bOPV;2.0;EST-CH-0271;Centro Materno Infantil Santiago de Lacaya;LOT-SNF-2024-770;8.6;415;Oral;-195.072;-64.420.126;5.0;
MOVIL-000297;2024-08-30T11:55:06;TAB-CH-06;MOV-00567;;Lucía;Chura;Tarqui;F;7/1/2023;Chuquisaca;Tarabuco;;True;2024-08-30T10:42:39;VAC-010;Antipolio bOPV;4.0;EST-CH-0278;Centro Ambulatorio Los Lotes;LOT-AZN-2024-476;1.7;601;Oral;-19.617.342;-659.784;10.0;
MOVIL-000298;2025-03-03T16:39:02;TAB-PT-02;MOV-00914;63887188 PT;Sofía;Tarqui;Yujra;F;28/5/2016;Potosí;Ravelo;Comunidad Caripuyo;False;2025-03-03T15:18:39;VAC-025;Influenza Estacional;1.0;EST-PT-0234;Centro Ambulatorio Alto Lima;LOT-PFZ-2025-164;11.2;3201;Intramuscular;-18.827.293;-65.465.367;25.0;
MOVIL-000299;2024-07-06T16:38:02;TAB-OR-03;MOV-00994;54997927 CH;Santusa;Rojas;Machaca;F;24/7/2011;Chuquisaca;Zudáñez;Comunidad Culpina;True;2024-07-06T09:29:45;VAC-023;VPH;2.0;EST-CH-0292;Micro Hospital Cerro Verde;LOT-AZN-2024-166;12.8;4731;Intramuscular;-19.123.233;-65.384.695;50.0;
MOVIL-000300;2024-01-15T16:51:14;TAB-CH-04;MOV-01108;40200481 PT;Bernarda;Paco;Laura;F;7/5/2002;Potosí;Uncía;Comunidad Ocurí;True;2024-01-15T14:39:13;VAC-025;Influenza Estacional;1.0;TEMP-BRIGADA-001;Brigada Itinerante Ravelo;LOT-BIO-2024-169;6.4;7923;Intramuscular;-18.443.536;-66.258.949;50.0;Referido de posta vecina
MOVIL-000301;2025-01-29T13:52:00;TAB-PT-03;MOV-00026;67385640 CH;Domitila;Choque;Vargas;F;19/8/2014;Chuquisaca;Tarabuco;Ayllu Laymes;False;2025-01-29T09:27:13;VAC-022;VPH;1.0;EST-CH-0277;Policlínico Pampa de la Isla;LOT-BIO-2025-385;6.4;3816;Intramuscular;-19.462.326;-64.748.145;10.0;
MOVIL-000302;2024-09-14T13:16:05;TAB-OR-04;;97318451 PT;Dionisio;Cruz;Limachi;M;27/4/2022;Potosí;Tinguipaya;Comunidad Chipaya;False;2024-09-14T09:15:07;VAC-004;Pentavalente;3.0;EST-PT-0214;Policlínico Los Lotes;LOT-SII-2024-452;3.2;871;Intramuscular;-19.948.065;-65.358.126;10.0;Referido de posta vecina
MOVIL-000303;2025-02-10T13:30:46;TAB-OR-01;MOV-00862;59915684 CH;Bernarda;Tarqui;Limachi;F;14/7/2023;Chuquisaca;Presto;Ayllu Pocoata;True;2025-02-10T12:31:04;VAC-010;Antipolio bOPV;4.0;EST-CH-0283;Centro de Salud Hamacas;LOT-BIO-2025-335;6.0;577;Oral;-18.970.317;-65.031.462;10.0;
MOVIL-000304;2025-03-03T16:27:35;TAB-OR-03;MOV-00169;42538255 PT;Valentina;Colque;Laura;F;23/12/2021;Potosí;Tinguipaya;Comunidad Ravelo;True;2025-03-03T08:34:52;VAC-003;Pentavalente;2.0;EST-PT-0232;Micro Hospital Chimba;LOT-SNF-2025-211;7.4;1166;Intramuscular;-19.093.665;-6.455.018;10.0;Brigada móvil comunitaria
MOVIL-000305;2024-10-08T09:26:49;TAB-OR-05;MOV-00098;71635601 CH;Nayeli;Apaza;Limachi;F;4/4/2024;Chuquisaca;Monteagudo;Comunidad Quillacas;False;2024-10-08T09:57:03;VAC-007;Antipolio IPV;1.0;EST-CH-0289;Centro Ambulatorio Alalay;LOT-SNF-2024-117;6.9;187;Intramuscular;-19.989.212;-64.516.484;15.0;Campaña puerta a puerta
MOVIL-000306;2024-10-18T13:01:13;TAB-OR-03;MOV-00366;97318451 PT;Dionisio;Cruz;Limachi;M;27/4/2022;Potosí;Tinguipaya;Comunidad Chipaya;False;2024-10-18T09:58:07;VAC-021;Antiamarílica (FA);1.0;EST-PT-0211;Centro de Salud Villa Dolores;LOT-BIO-2024-888;25.7;905;Subcutánea;-20.343.687;-66.466.285;15.0;
MOVIL-000307;2025-05-10T15:03:08;TAB-CH-03;MOV-00118;40509310 CH;Santos;Choque;Ticona;M;4/9/2001;Chuquisaca;Huacareta;Ayllu Laymes;False;2025-05-10T09:02:29;VAC-025;Influenza Estacional;1.0;EST-CH-0265;Puesto de Salud Chasquipampa;LOT-BIO-2025-738;7.6;8649;Intramuscular;-18.831.105;-65.039.795;5.0;Campaña puerta a puerta
MOVIL-000308;2024-04-18T08:49:01;TAB-OR-04;MOV-00684;82406572 CH;Bernarda;Mamani Quispe;Laura;F;8/11/2019;Chuquisaca;Huacareta;Comunidad Chipaya;False;2024-04-18T10:46:53;VAC-020;SRP (Triple Viral);2.0;EST-CH-0286;Policlínico Sacaba Sur;LOT-GSK-2024-302;5.9;1623;Subcutánea;-18.216.033;-65.259.161;10.0;Brigada móvil comunitaria
MOVIL-000309;2024-02-03T14:41:06;TAB-CH-05;MOV-00771;92159900 PT;Claudia;Alanoca;Paco;F;20/2/2022;Potosí;Ravelo;Comunidad Chipaya;True;2024-02-03T07:53:01;VAC-005;Pentavalente;4.0;EST-PT-0209;Puesto de Salud Río Seco;LOT-SNF-2024-319;6.9;713;Intramuscular;-20.625.059;-66.071.152;50.0;
MOVIL-000310;2025-03-17T11:09:40;TAB-CH-07;MOV-00247;94616745 OR;Jorge;Calle;Siñani;M;9/1/2023;Oruro;Machacamarca;Ayllu Chayantaka;True;2025-03-17T08:57:03;VAC-003;Pentavalente;2.0;EST-OR-0242;Centro Integral de Salud Bartolina Sisa;LOT-SII-2025-263;9.8;798;Intramuscular;-18.581.512;-66.351.978;15.0;Vacunación en unidad educativa
MOVIL-000311;2024-01-01T11:57:56;TAB-OR-04;MOV-01116;49861188 PT;Daniel;Tarqui;Chipana;M;4/12/2022;Potosí;Uyuni;Comunidad Salinas;True;2024-01-01T08:06:56;VAC-003;Pentavalente;2.0;EST-PT-0226;Centro Ambulatorio Jaihuayco;LOT-GSK-2024-276;9.9;393;Intramuscular;-18.451.209;-656.332;50.0;
MOVIL-000312;2024-04-26T14:19:37;TAB-OR-04;MOV-00854;28525616 OR;Jorge;Chipana;Copa;M;6/1/2024;Oruro;Pazña;Sindicato Tacobamba;False;2024-04-26T16:15:50;VAC-002;Pentavalente;1.0;EST-OR-0249;Posta de Salud Tarapacá;LOT-SNF-2024-662;4.1;111;Intramuscular;-18.112.551;-67.223.523;5.0;Vacunación en unidad educativa
MOVIL-000313;2024-07-26T08:18:51;TAB-CH-05;MOV-00184;5746771 PT;Eusebia;Mendoza;Choque;F;12/4/2020;Potosí;Ravelo;Comunidad Chipaya;True;2024-07-26T08:02:45;VAC-021;Antiamarílica (FA);1.0;EST-PT-0222;Puesto de Salud Sacaba Sur;LOT-AZN-2024-444;8.1;1566;Subcutánea;-20.254.716;-65.123.663;15.0;
MOVIL-000314;2024-04-05T16:39:13;TAB-CH-02;MOV-00633;91820278 PT;Carmen;Chambi;Villca;F;6/2/2004;Potosí;Llallagua;Comunidad Chipaya;True;2024-04-05T16:18:29;VAC-024;dT Adulto;1.0;EST-PT-0222;Puesto de Salud Sacaba Sur;LOT-PFZ-2024-458;16.0;7364;Intramuscular;-20.201.448;-64.958.695;10.0;
MOVIL-000315;2025-03-11T07:10:26;TAB-PT-04;MOV-00233;17394487 PT;Tomasa;Flores;Chipana;F;18/11/2023;Potosí;Llallagua;Comunidad Tolapampa;True;2025-03-11T13:22:48;VAC-008;Antipolio bOPV;2.0;EST-PT-0227;Posta de Salud Valle Hermoso;LOT-GSK-2025-248;2.8;479;Oral;-19.087.982;-64.568.084;10.0;Vacunación en unidad educativa
MOVIL-000316;2024-01-19T11:55:28;TAB-PT-02;MOV-00762;64346416 PT;Valentina;Alanoca;Mamani;F;11/9/2020;Potosí;Uyuni;Comunidad San Pedro de Quemes;False;2024-01-19T13:31:05;VAC-020;SRP (Triple Viral);2.0;EST-PT-0207;Centro Materno Infantil Santiago de Lacaya;LOT-GSK-2024-643;8.3;1225;Subcutánea;-20.098.514;-65.397.604;15.0;Brigada móvil comunitaria
MOVIL-000317;2024-09-28T14:50:18;TAB-PT-05;MOV-00585;26451115 PT;Rosa;Marca;Vargas;F;19/4/2012;Potosí;Betanzos;Comunidad Huari;True;2024-09-28T11:17:20;VAC-025;Influenza Estacional;1.0;EST-PT-0231;Centro Materno Infantil La Cancha;LOT-GSK-2024-990;8.6;4545;Intramuscular;-19.126.359;-66.808.327;10.0;Referido de posta vecina
MOVIL-000318;2024-07-20T12:05:27;TAB-PT-06;MOV-00065;14630084 PT;Domitila;Quisbert;Tarqui;F;7/1/2023;Potosí;Betanzos;;True;2024-07-20T15:13:12;VAC-002;Pentavalente;1.0;EST-PT-0230;Centro Integral de Salud San Sebastián;LOT-SII-2024-860;5.9;560;Intramuscular;-19.585.711;-65.143.839;25.0;Vacunación en unidad educativa
MOVIL-000319;2024-03-29T09:49:39;TAB-OR-01;MOV-00809;48655757 OR;David;Laura;Condori;M;9/4/2021;Oruro;Challapata;Comunidad Caripuyo;False;2024-03-29T13:18:39;VAC-021;Antiamarílica (FA);1.0;EST-OR-0239;Posta de Salud Bolívar;LOT-PFZ-2024-500;3.4;1085;Subcutánea;-18.233.409;-66.995.698;5.0;Referido de posta vecina
MOVIL-000320;2025-05-19T10:42:07;TAB-PT-07;MOV-00892;97116517 PT;Epifania;Quispe;Laura;F;26/9/2023;Potosí;Ravelo;Comunidad Chacala;False;2025-05-19T14:33:07;VAC-003;Pentavalente;2.0;EST-PT-0201;Centro Ambulatorio Chasquipampa;LOT-GSK-2025-765;6.5;601;Intramuscular;-18.804.559;-66.539.768;5.0;Campaña puerta a puerta
MOVIL-000321;2024-09-13T10:18:29;TAB-PT-01;MOV-00281;22173866 PT;Nayeli;Calle;Poma;F;28/3/2022;Potosí;Ravelo;Ayllu Qhara Qhara;True;2024-09-13T09:51:20;VAC-004;Pentavalente;3.0;EST-PT-0227;Posta de Salud Valle Hermoso;LOT-AZN-2024-917;6.4;900;Intramuscular;-19.083.082;-65.944.704;15.0;
MOVIL-000322;2024-09-13T07:23:58;TAB-OR-03;MOV-00637;;Eusebio;Machaca;Vargas;M;17/11/2022;Potosí;Puna;Sindicato Tacobamba;False;2024-09-13T15:09:12;VAC-001;BCG;1.0;;;LOT-BIO-2024-740;5.6;666;Intradérmica;-20.449.769;-65.751.232;50.0;
MOVIL-000323;2024-08-06T16:19:15;TAB-PT-02;MOV-01112;21848152 OR;Silvia;Rojas;Quispe;F;4/5/2021;Oruro;Chipaya;Ayllu Jukumani;True;2024-08-06T15:15:13;VAC-020;SRP (Triple Viral);2.0;EST-OR-0250;Posta de Salud El Carmen;LOT-SII-2024-767;4.5;1190;Subcutánea;-17.968.442;-6.735.537;10.0;
MOVIL-000324;2024-01-13T08:41:04;TAB-PT-01;MOV-01194;31115768 PT;Saturnino;Limachi;Torrez;M;26/3/2022;Potosí;Tupiza;Comunidad Huari;True;2024-01-13T14:57:31;VAC-002;Pentavalente;1.0;EST-PT-0205;Centro Ambulatorio Mallasa;LOT-PFZ-2024-766;9.8;658;Intramuscular;-19.188.491;-65.036.446;10.0;
MOVIL-000325;2025-05-30T09:34:51;TAB-CH-06;MOV-00600;38706383 PT;Freddy;Colque;Tarqui;M;15/5/2013;Potosí;Uncía;Ayllu Macha;True;2025-05-30T13:17:07;VAC-023;VPH;2.0;EST-PT-0233;Puesto de Salud San Pedro;LOT-SNF-2025-881;14.0;4398;Intramuscular;-1.903.254;-66.929.836;5.0;Campaña puerta a puerta
MOVIL-000326;2024-04-20T08:05:10;TAB-OR-07;MOV-00074;84721515 OR;Jorge;Flores;Condori Poma;M;31/8/2015;Oruro;Chipaya;Comunidad Ocurí;True;2024-04-20T07:22:03;VAC-025;Influenza Estacional;1.0;EST-OR-0249;Posta de Salud Tarapacá;GSK.2024.276;4.1;3155;Intramuscular;-18.744.063;-66.331.392;25.0;
MOVIL-000327;2024-10-01T16:17:00;TAB-PT-04;MOV-00187;19321829 CH;Daniela;Torrez;Choque;F;10/5/2020;Chuquisaca;Mojocoya;Ayllu Pocoata;True;2024-10-01T12:35:28;VAC-007;Antipolio IPV;1.0;EST-CH-0271;Centro Materno Infantil Santiago de Lacaya;LOT-BIO-2024-540;7.5;1605;Intramuscular;-19.470.972;-66.232.498;10.0;Brigada móvil comunitaria
MOVIL-000328;2025-03-31T07:53:40;TAB-OR-01;MOV-00270;45807180 PT;Fortunata;Nina;Nina;F;28/11/1995;Potosí;Betanzos;Comunidad Huari;False;2025-03-31T11:23:01;VAC-024;dT Adulto;1.0;EST-PT-0226;Centro Ambulatorio Jaihuayco;LOT-BIO-2025-414;14.1;10716;Intramuscular;-19.784.213;-66.375.043;5.0;
MOVIL-000329;2024-06-28T15:55:20;TAB-OR-04;MOV-00828;27780164 PT;Domitila;Condori;Choque Huanca;F;17/8/2022;Potosí;Puna;Comunidad Caripuyo;False;2024-06-28T10:55:24;VAC-009;Antipolio bOPV;3.0;EST-PT-0233;Puesto de Salud San Pedro;LOT-BIO-2024-666;6.4;681;Oral;-19.309.879;-6.495.479;10.0;
MOVIL-000330;2025-02-14T11:07:13;TAB-PT-04;MOV-00228;30754469 CH;Óscar;Yujra;Copa;M;5/10/1986;Chuquisaca;Tarabuco;Comunidad Chipaya;False;2025-02-14T13:06:49;VAC-024;dT Adulto;1.0;EST-CH-0289;Centro Ambulatorio Alalay;LOT-AZN-2025-323;6.3;14012;Intramuscular;-19.734.398;-6.547.572;25.0;Segunda visita - completar esquema
MOVIL-000331;2024-12-26T12:14:43;TAB-OR-01;MOV-00270;45807180 PT;Fortunata;Nina;Nina;F;28/11/1995;Potosí;Betanzos;Comunidad Huari;False;2024-12-26T16:00:10;VAC-024;dT Adulto;1.0;EST-PT-0230;Centro Integral de Salud San Sebastián;LOT-GSK-2024-796;1.7;10621;Intramuscular;-18.603.541;-65.884.266;50.0;Referido de posta vecina
MOVIL-000332;2024-01-23T16:15:38;TAB-OR-06;MOV-00371;42385470 PT;Edwin;Chura;Paco;M;30/8/2021;Potosí;Uyuni;;False;2024-01-23T14:07:44;VAC-004;Pentavalente;3.0;EST-PT-0212;Posta de Salud Plan 3000;LOT-SNF-2024-604;14.6;876;Intramuscular;-19.880.933;-66.349.637;100.0;Vacunación en unidad educativa
MOVIL-000333;2025-06-06T16:12:00;TAB-OR-05;MOV-01152;53212000 PT;María;Siñani;Limachi;F;30/1/2024;Potosí;Ravelo;Comunidad Ocurí;True;2025-06-06T14:04:01;VAC-002;Pentavalente;1.0;EST-PT-0225;Posta de Salud Alalay;LOT-GSK-2025-503;12.0;493;Intramuscular;-20.593.759;-64.911.131;25.0;
MOVIL-000334;2024-08-16T13:07:49;TAB-PT-07;MOV-00589;66261548 OR;Evaristo;Yujra;Apaza;M;20/7/2021;Oruro;Antequera;Ayllu Qhara Qhara;True;2024-08-16T10:48:15;VAC-025;Influenza Estacional;1.0;EST-OR-0237;Centro Ambulatorio Franz Tamayo;LOT-SNF-2024-386;17.5;1123;Intramuscular;-18.610.412;-67.572.595;5.0;
MOVIL-000335;2024-05-24T09:36:41;TAB-CH-05;MOV-00648;92447823 CH;Valentina;Limachi;Marca;F;12/4/2014;Chuquisaca;Villa Serrano;Ayllu Macha;True;2024-05-24T10:44:12;VAC-025;Influenza Estacional;1.0;EST-CH-0278;Centro Ambulatorio Los Lotes;LOT-GSK-2024-981;6.1;3695;Intramuscular;-18.164.736;-65.161.113;5.0;Segunda visita - completar esquema
MOVIL-000336;2024-05-21T08:17:23;TAB-CH-05;MOV-00729;19444906 OR;Petrona;Limachi;Siñani;F;18/6/2020;Oruro;Oruro;;True;2024-05-21T09:35:58;VAC-002;Pentavalente;1.0;EST-OR-0261;Centro Materno Infantil Miraflores;LOT-SII-2024-822;6.6;1433;Intramuscular;-17.690.846;-6.664.224;15.0;
MOVIL-000337;2025-02-04T09:10:56;TAB-OR-06;MOV-00140;;María;Limachi;Cruz;F;5/9/2006;Oruro;Pazña;Comunidad Chipaya;False;2025-02-04T13:39:54;VAC-025;Influenza Estacional;1.0;EST-OR-0239;Posta de Salud Bolívar;LOT-GSK-2025-837;10.8;6727;Intramuscular;-1.719.642;-67.127.407;5.0;Campaña puerta a puerta
MOVIL-000338;2025-04-07T09:22:19;TAB-OR-06;MOV-00873;2043423 PT;Domitila;Copa;Callisaya;F;16/1/2013;Potosí;Cotagaita;Comunidad Quillacas;True;2025-04-07T13:32:54;VAC-025;Influenza Estacional;1.0;EST-PT-0206;Posta de Salud Kupini;LOT-AZN-2025-566;2.8;4464;Intramuscular;-18.782.015;-65.315.561;10.0;Vacunación en unidad educativa
MOVIL-000339;2025-05-26T10:44:25;TAB-PT-07;MOV-00135;70551130 PT;Nayeli;Chipana;Copa;F;14/9/2021;Potosí;Potosí;;False;2025-05-26T13:39:31;VAC-001;BCG;1.0;EST-PT-0207;Centro Materno Infantil Santiago de Lacaya;LOT-SII-2025-871;9.0;1350;Intradérmica;-19.352.747;-64.974.996;10.0;Segunda visita - completar esquema
MOVIL-000340;2024-08-27T07:59:50;TAB-PT-04;MOV-00715;45641994 PT;Bernarda;Villca;Siñani;F;31/1/2021;Potosí;Uncía;Ayllu Jukumani;True;2024-08-27T11:51:51;VAC-025;Influenza Estacional;1.0;EST-PT-0206;Posta de Salud Kupini;LOT-GSK-2024-540;4.3;1304;Intramuscular;-18.979.243;-66.403.401;25.0;
MOVIL-000341;2025-03-28T09:53:21;TAB-OR-03;MOV-00407;65886718 PT;Ana;Mamani;Flores;F;26/7/1989;Potosí;Puna;Comunidad Chipaya;True;2025-03-28T09:47:16;VAC-024;dT Adulto;1.0;EST-PT-0214;Policlínico Los Lotes;LOT-SII-2025-842;1.5;13029;Intramuscular;-18.699.164;-66.205.409;5.0;
MOVIL-000342;2024-11-07T11:16:22;TAB-CH-02;MOV-00752;2035108 PT;Pedro;Mamani;Chura;M;28/2/2015;Potosí;Villazón;Comunidad Calacoto;True;2024-11-07T15:48:30;VAC-025;Influenza Estacional;1.0;EST-PT-0205;Centro Ambulatorio Mallasa;LOT-AZN-2024-838;12.0;3540;Intramuscular;-18.799.005;-64.828.636;50.0;
MOVIL-000343;2024-08-01T14:47:11;TAB-CH-01;MOV-00123;;Valentina;Chipana;Callisaya;F;21/1/2022;Potosí;Ravelo;Comunidad Calacoto;False;2024-08-01T14:53:08;VAC-021;Antiamarílica (FA);1.0;EST-PT-0208;Puesto de Salud Senkata;LOT-SNF-2024-793;8.0;923;Subcutánea;-18.885.308;-65.333.013;15.0;
MOVIL-000344;2024-03-18T10:43:40;TAB-PT-03;MOV-00634;68971703 CH;Zenón;Quispe;Callisaya;M;11/7/1992;Chuquisaca;Monteagudo;Ayllu Laymes;False;2024-03-18T16:46:25;VAC-024;dT Adulto;1.0;EST-CH-0272;Centro Integral de Salud Senkata;LOT-GSK-2024-238;10.2;11573;Intramuscular;-18.754.488;-64.839.657;15.0;
MOVIL-000345;2025-05-30T15:46:12;TAB-CH-02;MOV-01021;;Freddy;Condori Poma;Chipana;M;5/9/2020;Potosí;Villazón;Ayllu Macha;False;2025-05-30T16:54:30;VAC-004;Pentavalente;3.0;EST-PT-0233;Puesto de Salud San Pedro;LOT-PFZ-2025-292;12.7;1728;Intramuscular;-18.935.369;-66.045.113;50.0;Segunda visita - completar esquema
MOVIL-000346;2024-08-17T09:55:15;TAB-OR-07;MOV-00067;77415031 OR;Grover;Nina;Colque;M;20/1/2001;Oruro;Caracollo;Comunidad Calacoto;True;2024-08-17T10:45:13;VAC-024;dT Adulto;1.0;EST-OR-0250;Posta de Salud El Carmen;LOT-AZN-2024-777;-0.2;8610;Intramuscular;-17.600.465;-67.197.489;5.0;Brigada móvil comunitaria
MOVIL-000347;2024-05-31T13:05:01;TAB-OR-01;MOV-01006;72853923 OR;Daniela;Catari;Ticona;F;25/11/2023;Oruro;Challapata;Ayllu Jukumani;True;2024-05-31T10:58:49;VAC-013;Antineumocócica;2.0;EST-OR-0258;Posta Sanitaria Villa Fátima;LOT-BIO-2024-747;2.8;188;Intramuscular;-18.500.698;-67.444.653;15.0;
MOVIL-000348;2025-05-20T14:53:13;TAB-CH-05;MOV-00820;15444292 CH;Fortunata;Machaca;Copa;F;3/11/2019;Chuquisaca;Presto;Comunidad Chipaya;True;2025-05-20T08:46:29;VAC-025;Influenza Estacional;1.0;EST-CH-0286;Policlínico Sacaba Sur;LOT-PFZ-2025-791;9.9;2025;Intramuscular;-19.948.693;-64.732.746;5.0;
MOVIL-000349;2024-04-17T15:02:54;TAB-CH-02;MOV-00672;4764993 OR;Saturnino;Tarqui;Chambi;M;15/10/2020;Oruro;Eucaliptus;Comunidad Huari;True;2024-04-17T07:24:29;VAC-019;SRP (Triple Viral);1.0;EST-OR-0250;Posta de Salud El Carmen;LOT-GSK-2024-326;6.1;1280;Subcutánea;-18.136.724;-67.287.082;5.0;Campaña puerta a puerta
MOVIL-000350;2024-09-11T07:49:57;TAB-OR-07;MOV-01023;46853473 CH;Paola;Chura;Colque;F;23/4/2021;Chuquisaca;Camargo;Ayllu Macha;True;2024-09-11T15:06:38;VAC-001;BCG;1.0;EST-CH-0288;Posta de Salud Temporal;LOT-AZN-2024-541;3.7;1237;Intradérmica;-18.780.172;-65.221.502;25.0;Referido de posta vecina
MOVIL-000351;2024-02-27T16:45:00;TAB-PT-06;MOV-00347;46874854 OR;Sofía;Cruz;Chambi;F;17/11/2021;Oruro;Huanuni;Sindicato Tacobamba;True;2024-02-27T10:50:14;VAC-002;Pentavalente;1.0;EST-OR-0236;Puesto de Salud Nuevos Horizontes;LOT-SII-2024-248;4.8;832;Intramuscular;-17.324.629;-67.692.048;5.0;Brigada móvil comunitaria
MOVIL-000352;2025-02-18T08:44:44;TAB-CH-01;MOV-00522;81458942 CH;Petrona;Limachi;Apaza;F;4/11/2012;Chuquisaca;Villa Abecia;Ayllu Chayantaka;False;2025-02-18T14:26:26;VAC-025;Influenza Estacional;1.0;EST-CH-0291;Posta Sanitaria Valle Hermoso;LOT-SNF-2025-941;4.7;4489;Intramuscular;-19.588.608;-65.453.982;50.0;Brigada móvil comunitaria
MOVIL-000353;2024-05-31T12:26:02;TAB-CH-04;MOV-01078;;Sofía;Mamani;Condori;F;10/10/2023;Oruro;Antequera;Comunidad Huari;True;2024-05-31T11:13:24;VAC-016;Anti-rotavirus;2.0;EST-OR-0247;Centro Integral de Salud Tunari;LOT-BIO-2024-834;5.1;234;Oral;-1.810.128;-66.451.196;5.0;
MOVIL-000354;2025-06-25T16:36:40;TAB-OR-07;MOV-01170;75705341 PT;Daniela;Siñani;Marca;F;29/4/2020;Potosí;Tupiza;Comunidad Chacala;True;2025-06-25T12:59:23;VAC-025;Influenza Estacional;1.0;EST-PT-0210;Micro Hospital Ciudad Satélite;LOT-PFZ-2025-571;7.2;1883;Intramuscular;-19.805.531;-65.450.797;5.0;Brigada móvil comunitaria
